pair_ID	entailment_judgment	relatedness_score
157	ENTAILMENT	3.8865926
158	NEUTRAL	3.860784
160	NEUTRAL	3.9330506
162	NEUTRAL	2.1514416
165	NEUTRAL	2.989524
166	NEUTRAL	2.800834
167	NEUTRAL	3.6423085
168	NEUTRAL	3.8152094
169	NEUTRAL	3.8177087
171	NEUTRAL	3.8169649
172	NEUTRAL	3.4389505
174	NEUTRAL	3.556433
175	NEUTRAL	3.667241
177	NEUTRAL	3.3419166
178	NEUTRAL	4.030657
179	NEUTRAL	3.5134737
180	NEUTRAL	3.951294
181	NEUTRAL	4.0662093
182	NEUTRAL	4.0606794
187	NEUTRAL	4.0715523
189	NEUTRAL	3.9543982
190	NEUTRAL	3.9668345
191	ENTAILMENT	3.8539782
193	NEUTRAL	3.998392
195	NEUTRAL	3.3844743
196	CONTRADICTION	2.8191924
198	NEUTRAL	2.4573689
199	NEUTRAL	2.7087288
203	NEUTRAL	2.9953017
204	NEUTRAL	3.9272196
206	NEUTRAL	3.8755374
207	NEUTRAL	4.033137
208	NEUTRAL	3.8758144
209	NEUTRAL	3.794984
210	NEUTRAL	3.7794719
212	NEUTRAL	3.807106
213	ENTAILMENT	3.4709907
214	ENTAILMENT	3.2772036
220	NEUTRAL	3.5887206
221	NEUTRAL	3.6458836
222	NEUTRAL	3.7457452
229	NEUTRAL	3.8001359
230	CONTRADICTION	3.2728553
231	NEUTRAL	4.0174127
235	NEUTRAL	2.0150797
239	NEUTRAL	2.5818057
242	NEUTRAL	2.89952
243	NEUTRAL	3.6470342
244	CONTRADICTION	3.8364348
245	NEUTRAL	3.8986535
246	NEUTRAL	2.5158234
247	CONTRADICTION	2.8810325
250	NEUTRAL	3.5131664
251	NEUTRAL	1.7362267
252	NEUTRAL	2.3136353
255	NEUTRAL	3.1947408
261	NEUTRAL	2.9994454
262	NEUTRAL	3.8005462
263	NEUTRAL	3.8262396
264	NEUTRAL	3.791593
267	NEUTRAL	3.9212394
268	NEUTRAL	3.719676
270	NEUTRAL	3.3597064
271	NEUTRAL	3.5761905
274	NEUTRAL	3.6488814
275	NEUTRAL	3.7435765
278	NEUTRAL	3.0326238
281	NEUTRAL	3.4323578
282	NEUTRAL	4.0223684
284	NEUTRAL	2.3111956
288	NEUTRAL	3.1633892
290	NEUTRAL	3.1494088
292	NEUTRAL	3.7078032
294	NEUTRAL	3.9703236
295	NEUTRAL	3.2159593
297	NEUTRAL	3.7126694
298	NEUTRAL	3.3661275
299	NEUTRAL	3.6391795
300	NEUTRAL	4.0044017
306	NEUTRAL	3.5905728
307	NEUTRAL	3.872828
308	NEUTRAL	3.4683893
314	NEUTRAL	3.7754576
316	NEUTRAL	1.7664341
318	NEUTRAL	1.2857348
319	NEUTRAL	2.0159218
320	NEUTRAL	1.6784176
321	NEUTRAL	1.8484671
322	NEUTRAL	3.7852445
324	NEUTRAL	2.2556186
325	CONTRADICTION	1.968204
326	NEUTRAL	2.51227
328	NEUTRAL	2.616887
330	NEUTRAL	2.8261695
334	NEUTRAL	4.133907
336	NEUTRAL	3.0501275
337	ENTAILMENT	1.2930628
343	NEUTRAL	3.9145985
345	NEUTRAL	2.1442075
348	NEUTRAL	2.0613532
349	NEUTRAL	2.0387464
350	NEUTRAL	2.3930874
352	CONTRADICTION	3.767531
353	ENTAILMENT	3.898491
355	CONTRADICTION	3.418458
356	NEUTRAL	2.2911615
357	CONTRADICTION	3.5567565
359	CONTRADICTION	2.7463427
364	NEUTRAL	3.6099067
365	NEUTRAL	3.9261804
368	NEUTRAL	3.2985518
369	NEUTRAL	3.654652
371	NEUTRAL	3.7200189
376	NEUTRAL	2.5459886
383	NEUTRAL	3.862427
385	NEUTRAL	3.919662
386	NEUTRAL	3.4381526
388	NEUTRAL	3.9543118
389	NEUTRAL	3.7958643
399	CONTRADICTION	4.012206
400	NEUTRAL	2.8062382
401	NEUTRAL	3.3020978
405	ENTAILMENT	3.6141424
406	ENTAILMENT	2.1652648
407	ENTAILMENT	2.191162
408	NEUTRAL	2.870852
411	NEUTRAL	3.9385917
412	NEUTRAL	3.506332
414	NEUTRAL	3.567645
416	NEUTRAL	3.739387
418	NEUTRAL	3.6636858
419	NEUTRAL	3.643286
420	NEUTRAL	2.0608933
421	NEUTRAL	2.9033227
424	NEUTRAL	3.7963276
425	CONTRADICTION	3.5744543
426	NEUTRAL	3.9529812
429	NEUTRAL	3.117126
430	NEUTRAL	3.7513838
431	NEUTRAL	3.1070242
432	ENTAILMENT	3.3871832
433	NEUTRAL	3.823113
437	NEUTRAL	4.028314
443	NEUTRAL	3.6414456
444	NEUTRAL	4.033341
445	ENTAILMENT	3.1937733
448	NEUTRAL	3.6381323
452	NEUTRAL	3.7845469
453	NEUTRAL	3.553968
455	NEUTRAL	3.6973834
456	NEUTRAL	3.1389337
458	CONTRADICTION	3.251102
459	NEUTRAL	2.888939
460	CONTRADICTION	2.4146533
463	NEUTRAL	3.952657
464	NEUTRAL	3.739872
466	CONTRADICTION	4.0511107
467	NEUTRAL	3.562698
468	NEUTRAL	3.7681217
469	NEUTRAL	3.9510112
471	NEUTRAL	3.4651365
472	NEUTRAL	3.9881573
474	CONTRADICTION	3.09111
478	CONTRADICTION	1.6997565
479	NEUTRAL	1.6697592
480	CONTRADICTION	1.5205721
481	ENTAILMENT	2.7773085
482	NEUTRAL	3.941196
483	CONTRADICTION	2.326129
487	NEUTRAL	3.497847
488	NEUTRAL	3.2575989
490	NEUTRAL	3.134299
492	CONTRADICTION	1.9827249
493	ENTAILMENT	3.259834
495	NEUTRAL	3.7717044
498	NEUTRAL	3.8498418
501	CONTRADICTION	3.299057
502	NEUTRAL	3.8769147
503	CONTRADICTION	3.365132
504	NEUTRAL	2.751494
509	CONTRADICTION	2.8592134
510	NEUTRAL	3.6827915
511	NEUTRAL	3.4858398
512	CONTRADICTION	2.5294816
517	NEUTRAL	4.056597
518	NEUTRAL	4.016335
519	CONTRADICTION	3.8885787
521	NEUTRAL	3.4467094
523	CONTRADICTION	3.8215585
525	NEUTRAL	2.1939924
532	CONTRADICTION	4.022369
533	NEUTRAL	3.8514202
534	ENTAILMENT	2.7893968
536	NEUTRAL	2.336443
537	NEUTRAL	3.5427632
539	NEUTRAL	2.9152062
540	NEUTRAL	2.5662856
543	NEUTRAL	3.1222143
544	NEUTRAL	4.026938
546	NEUTRAL	3.7570806
547	NEUTRAL	3.3222485
549	NEUTRAL	2.7789748
553	NEUTRAL	3.3826075
554	NEUTRAL	3.753513
558	NEUTRAL	3.7538314
559	NEUTRAL	3.3771832
562	NEUTRAL	3.2779665
563	NEUTRAL	3.8657658
566	NEUTRAL	4.025075
567	NEUTRAL	3.875453
569	NEUTRAL	3.929946
571	CONTRADICTION	3.6799998
572	NEUTRAL	3.917911
573	NEUTRAL	3.2469726
574	CONTRADICTION	3.1852396
575	NEUTRAL	3.6062636
576	NEUTRAL	3.4005985
577	NEUTRAL	3.2590647
578	NEUTRAL	3.665904
579	NEUTRAL	3.4968452
580	NEUTRAL	3.633739
582	NEUTRAL	3.4448729
583	NEUTRAL	3.705827
584	CONTRADICTION	2.2489324
585	NEUTRAL	3.7416658
589	NEUTRAL	3.6583946
590	NEUTRAL	3.3111331
591	NEUTRAL	3.6435404
593	NEUTRAL	3.8294225
594	CONTRADICTION	3.7203274
595	NEUTRAL	3.458887
596	CONTRADICTION	3.3577278
598	NEUTRAL	3.979487
600	NEUTRAL	3.9131205
602	CONTRADICTION	3.7195044
607	NEUTRAL	1.8100928
608	NEUTRAL	1.8435446
610	NEUTRAL	1.7266201
612	NEUTRAL	2.4973722
613	NEUTRAL	3.9107165
614	NEUTRAL	3.5422246
615	NEUTRAL	3.6167831
616	NEUTRAL	3.8495717
618	NEUTRAL	3.7107863
620	NEUTRAL	2.3673675
623	NEUTRAL	3.7231774
624	NEUTRAL	3.5057554
627	NEUTRAL	4.127115
633	CONTRADICTION	3.7647936
635	NEUTRAL	2.8859591
636	NEUTRAL	3.0790493
639	NEUTRAL	4.0180626
640	NEUTRAL	2.6614065
642	NEUTRAL	3.9594479
644	NEUTRAL	3.771124
652	NEUTRAL	3.906066
654	NEUTRAL	3.3338523
656	NEUTRAL	3.9998405
658	NEUTRAL	3.5627801
659	NEUTRAL	3.915973
662	NEUTRAL	3.2079144
664	NEUTRAL	3.9349325
665	ENTAILMENT	3.8966591
666	ENTAILMENT	3.851016
667	ENTAILMENT	3.5806754
669	ENTAILMENT	2.9825032
670	ENTAILMENT	3.2832873
673	ENTAILMENT	3.7273993
674	ENTAILMENT	2.317492
675	ENTAILMENT	3.5307035
677	NEUTRAL	4.014393
681	NEUTRAL	3.3474998
682	NEUTRAL	3.3455544
683	CONTRADICTION	3.9241595
684	ENTAILMENT	3.8833506
686	NEUTRAL	3.1554377
688	ENTAILMENT	3.596003
694	NEUTRAL	3.2639616
695	NEUTRAL	3.8720198
700	ENTAILMENT	3.6447983
701	NEUTRAL	3.8539534
705	NEUTRAL	3.7068257
706	CONTRADICTION	3.722853
707	NEUTRAL	2.1271863
708	NEUTRAL	2.8299778
710	NEUTRAL	3.7088985
711	NEUTRAL	1.8176746
712	NEUTRAL	2.7206533
713	ENTAILMENT	3.6776206
714	NEUTRAL	3.9192038
716	NEUTRAL	3.9042969
719	NEUTRAL	3.5736985
720	NEUTRAL	3.48946
721	NEUTRAL	3.3635218
724	ENTAILMENT	3.8176327
726	ENTAILMENT	3.841103
739	NEUTRAL	3.3817444
740	NEUTRAL	2.9513576
742	NEUTRAL	2.3112636
743	NEUTRAL	2.1518948
744	NEUTRAL	2.458179
750	NEUTRAL	3.0133889
751	NEUTRAL	1.3760146
753	NEUTRAL	3.6717057
755	NEUTRAL	3.1066005
756	NEUTRAL	2.246166
758	NEUTRAL	3.483418
763	NEUTRAL	3.962973
767	NEUTRAL	1.9542003
770	NEUTRAL	2.677339
771	NEUTRAL	2.3679872
773	NEUTRAL	3.8675578
775	NEUTRAL	3.750952
776	NEUTRAL	2.489479
778	NEUTRAL	2.4880447
779	NEUTRAL	1.8120273
781	NEUTRAL	3.769717
782	CONTRADICTION	3.7241843
786	NEUTRAL	3.946807
787	ENTAILMENT	2.0972443
788	CONTRADICTION	3.0068843
790	NEUTRAL	2.866157
794	NEUTRAL	3.9267807
795	NEUTRAL	3.77015
798	NEUTRAL	3.657763
800	CONTRADICTION	2.9551554
801	CONTRADICTION	3.0576377
803	NEUTRAL	2.4273725
805	NEUTRAL	3.641871
806	NEUTRAL	3.4507124
807	NEUTRAL	2.9360516
808	NEUTRAL	3.971004
809	CONTRADICTION	4.024897
810	NEUTRAL	2.9846795
814	NEUTRAL	4.1304755
815	NEUTRAL	2.8901813
817	ENTAILMENT	3.7101903
818	NEUTRAL	3.816453
819	CONTRADICTION	3.0921009
821	NEUTRAL	1.6661519
823	ENTAILMENT	1.6691893
826	NEUTRAL	1.3604392
828	CONTRADICTION	3.5142138
829	NEUTRAL	3.5718431
832	NEUTRAL	3.9205647
833	NEUTRAL	3.4078004
834	CONTRADICTION	3.6800122
835	NEUTRAL	4.04008
837	CONTRADICTION	3.3679576
838	NEUTRAL	4.0049944
840	NEUTRAL	3.7963495
842	NEUTRAL	3.6611223
843	NEUTRAL	4.03386
847	NEUTRAL	3.5416942
849	NEUTRAL	3.6257493
850	NEUTRAL	3.7052631
853	NEUTRAL	3.5932474
854	NEUTRAL	3.7428203
856	NEUTRAL	3.7221677
861	CONTRADICTION	3.973318
863	NEUTRAL	3.8456612
865	CONTRADICTION	3.7785258
871	NEUTRAL	3.6620626
875	NEUTRAL	3.9648814
877	NEUTRAL	3.8735433
884	NEUTRAL	3.150928
885	NEUTRAL	3.4477365
886	NEUTRAL	3.6691203
890	ENTAILMENT	3.4539442
891	CONTRADICTION	1.9993373
894	ENTAILMENT	2.5457845
896	NEUTRAL	3.0800228
897	CONTRADICTION	2.2212815
900	NEUTRAL	4.1114235
901	NEUTRAL	3.6468801
903	NEUTRAL	3.917427
905	NEUTRAL	3.1783652
907	NEUTRAL	2.5309937
911	NEUTRAL	2.713727
912	NEUTRAL	3.8101325
914	NEUTRAL	3.848058
916	NEUTRAL	3.0223098
918	NEUTRAL	3.6821392
919	NEUTRAL	2.2088726
921	CONTRADICTION	3.8285136
923	NEUTRAL	3.5258162
924	NEUTRAL	3.9692006
925	NEUTRAL	3.8869839
926	NEUTRAL	3.9091084
928	NEUTRAL	2.4461727
929	NEUTRAL	3.4613826
930	NEUTRAL	2.6108143
934	NEUTRAL	3.9070077
937	NEUTRAL	4.0711565
938	NEUTRAL	3.9785056
939	NEUTRAL	3.5087724
941	NEUTRAL	3.159565
942	NEUTRAL	3.9527361
946	NEUTRAL	3.2468271
951	NEUTRAL	3.3162026
952	NEUTRAL	3.0762863
954	NEUTRAL	1.7115759
955	NEUTRAL	3.0874825
958	ENTAILMENT	3.4060204
964	CONTRADICTION	3.5775237
965	ENTAILMENT	3.6893983
966	ENTAILMENT	2.7228184
968	NEUTRAL	1.9345443
969	NEUTRAL	3.4367936
971	NEUTRAL	2.55622
972	ENTAILMENT	3.3464665
974	CONTRADICTION	3.8743877
976	NEUTRAL	3.6396556
977	NEUTRAL	3.91827
981	NEUTRAL	3.588119
982	NEUTRAL	3.7483377
983	NEUTRAL	3.5801353
986	ENTAILMENT	3.902017
990	NEUTRAL	3.8223825
992	NEUTRAL	2.357242
993	NEUTRAL	2.9081874
995	ENTAILMENT	1.9634892
997	NEUTRAL	2.4130597
999	NEUTRAL	3.463714
1001	NEUTRAL	3.9497724
1003	NEUTRAL	2.8542166
1005	NEUTRAL	3.8656855
1006	NEUTRAL	3.3697739
1011	NEUTRAL	3.6602817
1012	NEUTRAL	2.8680782
1013	NEUTRAL	3.13965
1014	NEUTRAL	3.9094288
1015	ENTAILMENT	3.411553
1017	NEUTRAL	3.803103
1020	ENTAILMENT	3.9110205
1023	NEUTRAL	3.7549076
1024	NEUTRAL	3.63924
1025	NEUTRAL	2.8486352
1027	NEUTRAL	1.9050194
1030	NEUTRAL	3.4764671
1032	ENTAILMENT	3.8475184
1034	ENTAILMENT	3.4813316
1035	NEUTRAL	3.739933
1036	CONTRADICTION	3.2809606
1040	NEUTRAL	3.3170142
1041	NEUTRAL	2.2430453
1042	NEUTRAL	1.7172555
1051	NEUTRAL	3.1155672
1056	ENTAILMENT	3.749894
1058	ENTAILMENT	3.860965
1059	CONTRADICTION	3.747962
1060	NEUTRAL	3.9452505
1062	CONTRADICTION	4.0862694
1063	ENTAILMENT	3.8235693
1066	ENTAILMENT	3.5015702
1067	ENTAILMENT	3.8470047
1070	ENTAILMENT	3.8868976
1071	NEUTRAL	3.7296958
1072	NEUTRAL	2.7990296
1073	NEUTRAL	4.009935
1075	NEUTRAL	4.024437
1077	CONTRADICTION	3.7867002
1078	NEUTRAL	3.6710734
1079	NEUTRAL	3.095675
1081	NEUTRAL	3.5360703
1085	NEUTRAL	3.7596598
1086	NEUTRAL	3.6964364
1089	NEUTRAL	3.3820853
1098	NEUTRAL	3.9162912
1100	NEUTRAL	1.0478598
1101	CONTRADICTION	1.7890152
1103	CONTRADICTION	1.5939829
1106	NEUTRAL	3.4575293
1107	CONTRADICTION	3.4326115
1110	CONTRADICTION	3.7220988
1113	NEUTRAL	1.1417571
1114	CONTRADICTION	1.4727279
1116	NEUTRAL	1.8357435
1121	ENTAILMENT	3.4543853
1123	ENTAILMENT	3.5089526
1124	CONTRADICTION	3.6538565
1126	ENTAILMENT	3.9368534
1127	ENTAILMENT	3.9878979
1130	CONTRADICTION	3.3935835
1131	ENTAILMENT	3.9588332
1132	ENTAILMENT	3.749978
1134	ENTAILMENT	3.949209
1136	CONTRADICTION	3.955729
1138	ENTAILMENT	3.7005067
1139	ENTAILMENT	3.5363994
1140	CONTRADICTION	3.0525966
1141	NEUTRAL	3.9724424
1142	NEUTRAL	3.9329247
1143	NEUTRAL	0.84145236
1144	CONTRADICTION	0.9159657
1146	CONTRADICTION	0.7976422
1148	NEUTRAL	3.7438145
1150	NEUTRAL	3.4630847
1151	CONTRADICTION	3.632789
1152	NEUTRAL	3.681842
1156	NEUTRAL	3.788384
1158	NEUTRAL	3.7793016
1159	NEUTRAL	3.4493914
1160	NEUTRAL	3.7459881
1163	NEUTRAL	3.509647
1164	NEUTRAL	3.9248073
1166	NEUTRAL	3.8779073
1168	ENTAILMENT	3.5973434
1171	CONTRADICTION	3.6302168
1172	NEUTRAL	3.4203787
1173	CONTRADICTION	2.5683303
1174	NEUTRAL	3.4747567
1176	NEUTRAL	3.8066096
1181	NEUTRAL	0.8548264
1183	NEUTRAL	0.78382486
1185	NEUTRAL	3.9486217
1186	NEUTRAL	3.3679438
1187	NEUTRAL	3.7396245
1189	NEUTRAL	2.4925897
1197	CONTRADICTION	3.7611732
1198	NEUTRAL	3.8622508
1199	NEUTRAL	3.5475008
1201	NEUTRAL	3.075434
1203	CONTRADICTION	3.31131
1204	NEUTRAL	3.3371234
1208	NEUTRAL	3.8559113
1209	CONTRADICTION	3.7722304
1210	NEUTRAL	3.7185137
1211	CONTRADICTION	3.8184001
1216	NEUTRAL	3.6693099
1217	NEUTRAL	3.809095
1218	CONTRADICTION	3.1003213
1220	CONTRADICTION	3.5901523
1223	NEUTRAL	3.8342457
1224	NEUTRAL	3.3762121
1225	CONTRADICTION	3.2145758
1226	NEUTRAL	3.8600564
1229	CONTRADICTION	3.6543384
1231	CONTRADICTION	2.6877704
1233	NEUTRAL	3.2533622
1234	CONTRADICTION	4.0160146
1235	NEUTRAL	3.5626426
1238	NEUTRAL	3.5564818
1243	CONTRADICTION	3.450177
1245	CONTRADICTION	3.4023144
1247	CONTRADICTION	3.9672313
1250	NEUTRAL	3.9507914
1252	CONTRADICTION	3.7171052
1253	ENTAILMENT	3.8862417
1254	ENTAILMENT	3.5876334
1256	NEUTRAL	2.5024333
1257	NEUTRAL	3.7512274
1258	CONTRADICTION	3.309583
1260	NEUTRAL	3.945132
1261	NEUTRAL	3.9261281
1262	NEUTRAL	3.7058098
1263	CONTRADICTION	3.603326
1264	NEUTRAL	3.6546445
1265	CONTRADICTION	3.6200943
1267	ENTAILMENT	3.844254
1269	ENTAILMENT	3.7925181
1272	CONTRADICTION	3.8259747
1277	NEUTRAL	1.2439412
1278	NEUTRAL	3.2361898
1279	NEUTRAL	3.6337438
1281	CONTRADICTION	2.880251
1285	NEUTRAL	3.5353346
1286	NEUTRAL	3.7376876
1288	CONTRADICTION	3.5887218
1289	NEUTRAL	3.9085908
1290	NEUTRAL	3.3803277
1295	NEUTRAL	3.8302317
1296	NEUTRAL	3.1557457
1298	NEUTRAL	3.6290908
1299	NEUTRAL	3.773309
1300	CONTRADICTION	2.8053784
1301	NEUTRAL	3.573916
1304	NEUTRAL	3.513283
1306	CONTRADICTION	1.5609657
1307	NEUTRAL	2.3812602
1309	ENTAILMENT	3.749064
1310	CONTRADICTION	3.9373183
1312	CONTRADICTION	3.5880256
1313	NEUTRAL	0.8502502
1314	NEUTRAL	0.78915197
1315	ENTAILMENT	0.86045533
1316	CONTRADICTION	0.8489042
1320	NEUTRAL	3.8834891
1322	CONTRADICTION	1.736666
1323	NEUTRAL	3.8787713
1324	NEUTRAL	3.1183157
1325	CONTRADICTION	1.697056
1327	NEUTRAL	2.3478312
1330	NEUTRAL	3.7601953
1331	NEUTRAL	3.6175652
1332	CONTRADICTION	3.7647104
1334	ENTAILMENT	3.9328442
1337	ENTAILMENT	2.8214798
1338	CONTRADICTION	2.7814717
1339	ENTAILMENT	3.1774516
1340	NEUTRAL	3.7381315
1343	NEUTRAL	3.4781973
1347	CONTRADICTION	3.812872
1348	ENTAILMENT	3.376503
1349	NEUTRAL	3.947237
1351	NEUTRAL	3.0256176
1353	NEUTRAL	3.1541247
1356	CONTRADICTION	3.595408
1357	NEUTRAL	3.12639
1360	ENTAILMENT	3.2660265
1362	ENTAILMENT	3.107461
1363	NEUTRAL	3.8967905
1364	ENTAILMENT	3.0837612
1366	ENTAILMENT	3.1898336
1367	NEUTRAL	3.521871
1369	NEUTRAL	3.603332
1370	CONTRADICTION	3.4228387
1374	CONTRADICTION	3.70572
1375	ENTAILMENT	3.7927663
1377	CONTRADICTION	3.7908077
1382	NEUTRAL	3.9262233
1383	NEUTRAL	3.6424387
1391	NEUTRAL	0.9264264
1392	CONTRADICTION	0.61090475
1393	ENTAILMENT	0.9422178
1394	CONTRADICTION	2.3657622
1395	NEUTRAL	3.218727
1397	CONTRADICTION	2.4995427
1398	ENTAILMENT	1.8866397
1401	NEUTRAL	3.2223241
1402	NEUTRAL	3.3403463
1406	NEUTRAL	3.600037
1411	NEUTRAL	2.7144623
1413	NEUTRAL	3.8669872
1416	ENTAILMENT	3.783442
1418	ENTAILMENT	3.644517
1420	ENTAILMENT	3.8552635
1422	NEUTRAL	2.4185526
1423	NEUTRAL	3.738629
1424	NEUTRAL	3.595214
1425	NEUTRAL	0.8954466
1426	NEUTRAL	1.279593
1428	NEUTRAL	1.0085613
1430	NEUTRAL	3.384276
1433	CONTRADICTION	3.5175152
1436	NEUTRAL	3.046063
1437	NEUTRAL	3.2331505
1439	ENTAILMENT	3.841376
1440	CONTRADICTION	3.3020873
1441	ENTAILMENT	1.6120311
1442	NEUTRAL	2.375297
1445	ENTAILMENT	1.8388215
1447	ENTAILMENT	1.4073771
1449	ENTAILMENT	3.6346016
1450	NEUTRAL	3.7003527
1451	CONTRADICTION	3.4875317
1452	ENTAILMENT	3.230884
1454	ENTAILMENT	3.0593047
1456	ENTAILMENT	3.402581
1457	CONTRADICTION	3.6296244
1459	ENTAILMENT	3.4301193
1460	NEUTRAL	3.6310163
1462	NEUTRAL	3.2458935
1465	ENTAILMENT	1.9209276
1468	NEUTRAL	3.7012334
1471	CONTRADICTION	3.4666457
1472	NEUTRAL	3.8820462
1475	NEUTRAL	3.9231138
1477	ENTAILMENT	3.769484
1478	CONTRADICTION	3.6849618
1485	NEUTRAL	3.8388977
1490	ENTAILMENT	1.4403859
1491	ENTAILMENT	2.8946056
1492	NEUTRAL	3.0017734
1496	CONTRADICTION	3.7265801
1497	NEUTRAL	3.817402
1500	CONTRADICTION	3.476634
1502	NEUTRAL	3.9047406
1507	NEUTRAL	3.7376153
1508	NEUTRAL	3.699174
1510	NEUTRAL	3.8863845
1512	NEUTRAL	1.9523613
1515	NEUTRAL	2.739924
1516	NEUTRAL	2.0102575
1518	NEUTRAL	3.8394089
1520	NEUTRAL	3.165718
1522	NEUTRAL	3.848925
1526	NEUTRAL	1.5373439
1528	NEUTRAL	3.0218434
1529	ENTAILMENT	2.5850973
1530	ENTAILMENT	3.593783
1533	NEUTRAL	1.3165294
1537	NEUTRAL	1.3736404
1539	CONTRADICTION	3.8737864
1540	NEUTRAL	3.890677
1542	ENTAILMENT	2.4929497
1543	CONTRADICTION	2.5706534
1544	NEUTRAL	3.3380342
1546	NEUTRAL	2.904284
1548	CONTRADICTION	2.4118996
1554	CONTRADICTION	1.9202183
1555	NEUTRAL	3.4418712
1556	NEUTRAL	3.7981634
1560	NEUTRAL	3.7290328
1561	NEUTRAL	2.312765
1562	NEUTRAL	2.1064234
1564	NEUTRAL	3.3692918
1567	NEUTRAL	3.7210088
1568	ENTAILMENT	3.6209142
1569	NEUTRAL	3.1617084
1571	ENTAILMENT	3.7851906
1572	NEUTRAL	3.8007078
1577	NEUTRAL	3.3196402
1578	ENTAILMENT	3.9612017
1579	CONTRADICTION	3.658547
1581	CONTRADICTION	3.8597913
1583	CONTRADICTION	3.530334
1589	NEUTRAL	3.9915419
1590	NEUTRAL	3.9589505
1593	NEUTRAL	3.4408221
1594	CONTRADICTION	3.7103052
1596	ENTAILMENT	3.9496274
1597	ENTAILMENT	1.7915365
1598	ENTAILMENT	3.927443
1600	ENTAILMENT	3.7351341
1602	CONTRADICTION	3.4131432
1603	ENTAILMENT	3.4627118
1605	ENTAILMENT	3.949375
1611	CONTRADICTION	3.1890097
1613	CONTRADICTION	2.6805513
1616	ENTAILMENT	2.9181201
1617	ENTAILMENT	3.6432133
1619	CONTRADICTION	3.3251143
1620	NEUTRAL	3.8101053
1622	NEUTRAL	3.583714
1623	CONTRADICTION	2.50221
1624	NEUTRAL	1.6772132
1630	NEUTRAL	3.8029947
1633	ENTAILMENT	3.472657
1634	CONTRADICTION	3.0875623
1636	NEUTRAL	3.5591216
1637	ENTAILMENT	3.6659155
1638	NEUTRAL	3.396689
1642	NEUTRAL	3.9190845
1644	CONTRADICTION	3.9508183
1645	NEUTRAL	3.8766181
1654	CONTRADICTION	3.533317
1656	ENTAILMENT	4.0120034
1658	NEUTRAL	3.843644
1662	ENTAILMENT	3.7506714
1664	NEUTRAL	3.8220234
1665	NEUTRAL	2.8006227
1666	NEUTRAL	3.258652
1667	ENTAILMENT	3.958767
1672	NEUTRAL	1.0430552
1674	ENTAILMENT	1.4416127
1678	NEUTRAL	3.9461012
1679	NEUTRAL	3.8652782
1681	CONTRADICTION	3.9624205
1683	NEUTRAL	3.9715252
1684	CONTRADICTION	3.9345949
